Object Path,Object Name,Item Name,Type,Parameters,Inputs,Outputs
files\content_assessment\DEMO_DB\EasyTrieve\report.et,report.et,report.et*,unspecified,None,"PERSFILE DEPTFILE, PERSFILE","REPORT2, REPORT_HIGH, SALARY, REPORT_LOW, FILETYPE IS FILE, REPORT1"
files\content_assessment\DEMO_DB\PLSQL\avg_sal.sql,avg_sal.sql,avg_sal.sql*,unspecified,"v_job_titleemployees, v_avg_salary, v_total_salary, v_employee_count",employees,DBMS_OUTPUT.PUT_LINE
files\content_assessment\DEMO_DB\PLSQL\cursor.sql,cursor.sql,cursor.sql*,unspecified,var_record,employees,DBMS_OUTPUT.PUT_LINE
files\content_assessment\DEMO_DB\PLSQL\error_handle.sql,error_handle.sql,error_handle.sql*,unspecified,"dividend, divisor, result",None,DBMS_OUTPUT.PUT_LINE
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,throw,procedure,"p_message, p_code",None,None
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,log_error,procedure,"p_message, p_code",None,jta_errors
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,show_in_console,procedure,"p_message, p_code",None,None
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_hours,procedure,"p_staff_id, end_date, doubletime, basic, start_date, overtime",work_hours,"doubletime, overtime, basic"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,process_payroll,procedure,p_date,"work_hours, payroll, staff",payroll
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,update_inventory,procedure,"p_product_id, p_new_cost, p_quantity","products, db, cost_sales_tracker",cost_sales_tracker
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,restock_urgent,procedure,p_staff_id,"them, products, inventory_by_location, suppliers_per_products","purchase_order_lines, purchase_orders"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_last_cashier_payout,function,p_staff_id,"cashier_drawer_assignments, customer_bills",cashier_drawer_assignments
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_money_inflow,function,"p_end_date, p_type, p_start_date, p_location_id","locations, cashier_stations, cashier_drawer_assignments",cashier_drawer_assignments
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,update_taxes,procedure,"'dd', SYSDATE","pending_tax_changes, pending, tax_rate_history","pending_tax_changes, type, tax_rate_history"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_price_changes,function,"p_product_id, p_start_date, p_end_date","products, price_history",price_changes_table
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_profits_for,procedure,"p_end_date, p_costs, p_goods_sold, p_net_gain, p_start_date, p_gross_gain","billed_items, customer_bills, net_gain, avg_cost, total_cost, cost_sales_tracker","p_costs, p_net_gain, p_goods_sold, p_gross_gain"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_recommended_price_for,procedure,"p_product_id, p_old_price, p_new_price, p_avg_cost","products, tax_rates, cost_sales_tracker","p_old_price, p_new_price, p_avg_cost"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,evaluate_po_order_line,procedure,"p_not_at_min_level, p_line_id, p_not_enough_to_restock","inventory_by_location, purchase_order_lines, purchase_orders","p_not_at_min_level, p_not_enough_to_restock"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,lookup_barcode,procedure,"p_product_id, p_barcode, p_product_name, p_tax_code, p_tax_rate, p_price_rate","products, inventory, bill, tax_rates","p_product_id, p_product_name, p_tax_code, p_tax_rate, p_price_rate"
