Object Path,Object Name,Complexity Score,Loops,Conditionals,Recursion,Cursors,Exceptions,External Calls,Triggers,Nested Queries
files/content_assessment/DEMO_DB\PLSQL\avg_sal.sql,avg_sal.sql,6,4,1,0,1,0,0,0,0
files/content_assessment/DEMO_DB\PLSQL\cursor.sql,cursor.sql,1,1,0,0,0,0,0,0,0
files/content_assessment/DEMO_DB\PLSQL\error_handle.sql,error_handle.sql,2,0,0,0,0,2,0,0,0
files/content_assessment/DEMO_DB\PLSQL\loop.sql,loop.sql,3,2,1,0,0,0,0,0,0
files/content_assessment/DEMO_DB\PLSQL\nestloop.sql,nestloop.sql,2,2,0,0,0,0,0,0,0
files/content_assessment/DEMO_DB\PLSQL\stringfunc.sql,stringfunc.sql,0,0,0,0,0,0,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\billing.sql,billing.sql,42,18,10,4,1,9,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\employee_ops.sql,employee_ops.sql,15,5,3,3,1,3,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\error_handling.sql,error_handling.sql,5,3,0,1,0,1,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\financial_ops.sql,financial_ops.sql,20,11,2,2,1,4,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\general_ops.sql,general_ops.sql,11,4,2,2,0,3,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\inventory_ops.sql,inventory_ops.sql,27,11,5,3,1,7,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\payroll_ops.sql,payroll_ops.sql,15,9,2,2,1,1,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\product_ops.sql,product_ops.sql,16,7,1,1,1,6,0,0,0
files/content_assessment/DEMO_DB\PLSQL\JTA\triggers.sql,triggers.sql,12,3,1,0,0,4,0,4,0
