Object Type,Object Path,Object Name,Object Line Count
Easytrieve,files/content_assessment/DEMO_DB\EasyTrieve\report.et,report.et,80
PLSQL,files/content_assessment/DEMO_DB\PLSQL\avg_sal.sql,avg_sal.sql,39
PLSQL,files/content_assessment/DEMO_DB\PLSQL\cursor.sql,cursor.sql,15
PLSQL,files/content_assessment/DEMO_DB\PLSQL\error_handle.sql,error_handle.sql,14
PLSQL,files/content_assessment/DEMO_DB\PLSQL\loop.sql,loop.sql,12
PLSQL,files/content_assessment/DEMO_DB\PLSQL\nestloop.sql,nestloop.sql,24
PLSQL,files/content_assessment/DEMO_DB\PLSQL\stringfunc.sql,stringfunc.sql,8
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\billing.sql,billing.sql,409
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\employee_ops.sql,employee_ops.sql,166
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\error_handling.sql,error_handling.sql,80
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\financial_ops.sql,financial_ops.sql,227
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\general_ops.sql,general_ops.sql,127
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\inventory_ops.sql,inventory_ops.sql,246
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\payroll_ops.sql,payroll_ops.sql,142
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\product_ops.sql,product_ops.sql,201
PLSQL,files/content_assessment/DEMO_DB\PLSQL\JTA\triggers.sql,triggers.sql,93
SQR,files/content_assessment/DEMO_DB\SQR\dates.sqr,dates.sqr,185
